Designator,Mid X,Mid Y,Layer,
IC1,29.21,17.78,Top,0.0
IC2,25.40,10.79,Top,0.0
IC3,17.78,23.88,Top,180.0
IC4,57.15,10.16,Top,180.0
J1,50.38,23.20,Top,90.0
GLED, 9.40,30.48,Top,0.0
RLED, 2.92,30.48,Top,0.0
SW1,40.89, 3.98,Top,180.0
SW2,14.61,13.97,Top,90.0
SW4,29.34, 1.87,Top,0.0
C1,19.81,10.40,Top,270.0
C2,50.14,12.32,Top,180.0
C3,30.48,24.77,Top,90.0
C4,31.62,24.77,Top,90.0
C5,28.19,24.77,Top,90.0
C6,29.34,24.77,Top,90.0
C7,32.77,24.77,Top,90.0
C8,41.27,22.10,Top,180.0
C9,22.35,20.45,Top,180.0
C10,35.86,20.32,Top,0.0
C11,22.35,16.76,Top,180.0
C12,35.86,16.76,Top,0.0
C13,21.46,10.79,Top,270.0
C14,29.34,11.00,Top,270.0
C15,30.61,11.00,Top,270.0
C16,49.53,10.16,Top,180.0
C17,49.53, 7.87,Top,180.0
R1,35.86,22.86,Top,0.0
R2,35.86,21.59,Top,0.0
R3,12.70,20.96,Top,180.0
R4,12.70,22.23,Top,180.0
R5,12.70,19.69,Top,180.0
